length , start  , read   , filter , measure , tagging , sort   , end
11, 977, 2272, 2459, 2641, 2823, 3001, 3190
12, 1752, 4228, 4422, 4619, 4817, 5012, 5223
13, 1412, 4041, 4224, 4413, 4589, 4767, 5067
14, 566, 1286, 1490, 1689, 1885, 2078, 2285
15, 466, 807, 1026, 1222, 1419, 1612, 1812
1, 3031, 6258, 7749, 12887, 14313, 15682, 17026
2, 955, 2586, 2780, 2974, 3163, 3354, 3549
3, 888, 3167, 3362, 3553, 3746, 3936, 4136
4, 845, 2888, 3085, 3280, 3474, 3665, 3864
5, 1495, 2261, 2456, 2653, 2849, 3043, 3242
6, 526, 2166, 2364, 2546, 2733, 2920, 3111
7, 1474, 4472, 4669, 4865, 5054, 5241, 5439
8, 7498, 10230, 10407, 11557, 11734, 11908, 12224
1, 3366, 6022, 7408, 8680, 9991, 17596, 18998
2, 1330, 3171, 3367, 3562, 3784, 3976, 4407
3, 674, 2437, 2630, 2818, 4993, 5395, 5593
4, 504, 895, 1088, 1275, 1486, 1669, 1869
5, 920, 4113, 4316, 4523, 4823, 5027, 5252
6, 390, 1037, 1241, 1474, 1731, 1972, 2239
7, 456, 1029, 1281, 1499, 1721, 1971, 2221
8, 383, 742, 977, 1240, 1468, 1731, 1968
9, 779, 2620, 3148, 3364, 3586, 3794, 3994
10, 624, 1426, 1629, 1831, 2038, 2243, 2447
11, 1392, 4229, 4438, 5347, 5553, 5757, 5964
12, 2826, 6240, 6533, 6758, 8033, 8363, 8557
13, 832, 1591, 1837, 2074, 2412, 2648, 2975
14, 423, 882, 1152, 1376, 1594, 1862, 2128
15, 1044, 2662, 2882, 3098, 3306, 3516, 3726
16, 1046, 1785, 2092, 2375, 2694, 2949, 3168
17, 1016, 1631, 1844, 2046, 2265, 2516, 2772
1, 3394, 5932, 7283, 8435, 9794, 10985, 12193
2, 1179, 3392, 3609, 4046, 4437, 4654, 4892
3, 3744, 7055, 8888, 10504, 12088, 13820, 15310
4, 3857, 7991, 9343, 10543, 11868, 13124, 14342
5, 3910, 7446, 9180, 10841, 12346, 14090, 15737
6, 1591, 2854, 3443, 3957, 4454, 4930, 5401
7, 3883, 6961, 8732, 10341, 11863, 13299, 14768
8, 3817, 7541, 10189, 11522, 12822, 14088, 15327
9, 4152, 7305, 9026, 10621, 12210, 13954, 15723
10, 722, 2403, 2594, 2778, 2962, 3147, 3461
11, 591, 2725, 2912, 3102, 3287, 3466, 3661
12, 705, 1784, 2506, 2745, 3002, 3300, 3530
